,0,1,2
0,Rainer Kimmich 1 ( * ) · Nail Fatkullin 2,Rainer Kimmich 1 ( * ) · Nail Fatkullin 2,
1,"1 Sektion Kernresonanzspektroskopie, Universität Ulm, 89069 Ulm, Germany rainer.kimmich@physik.uni-ulm.de 2 Department of Molecular Physics, Kazan State University, 420008 Kazan, Tatarstan, Russia","1 Sektion Kernresonanzspektroskopie, Universität Ulm, 89069 Ulm, Germany rainer.kimmich@physik.uni-ulm.de 2 Department of Molecular Physics, Kazan State University, 420008 Kazan, Tatarstan, Russia",
2,1,Introduction . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,3
3,2,NMR Methods . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,5
4,2.1,NMR Diffusometry. . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,6
5,2.1.1,Hahn Spin Echo in the Short Gradient Pulse Limit ( d D ) . . . . . . . .,6
6,2.1.1.1,Gaussian Propagators . . . . . . . . . . . . . . . . . . . . . . . . . . . .,8
7,2.1.1.2 Non-Gaussian Propagators,. . . . . . . . . . . . . . . . . . . . . . . . .,9
8,2.1.2,Hahn Spin Echo for Long Gradient Pulses . . . . . . . . . . . . . . . . .,10
9,2.1.3,Stimulated Echo . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,10
10,2.1.4,Spin Echoes and Steady B 0 Gradients. . . . . . . . . . . . . . . . . . . .,11
11,2.2,NMR Spin-Lattice Relaxometry. . . . . . . . . . . . . . . . . . . . . . .,13
12,2.2.1,General Theoretical Background . . . . . . . . . . . . . . . . . . . . . .,14
13,2.2.2,The Field-Cycling NMR Relaxometry Technique . . . . . . . . . . . . .,17
14,2.3,Residual Dipolar Broadening and Transverse Relaxation . . . . . . . . .,20
15,2.3.1,The Anderson/Weiss Approach . . . . . . . . . . . . . . . . . . . . . . .,21
16,3,Modeling of Chain Dynamics and Predictions for NMR Measurands .,22
17,3.1,The Rouse Model. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,24
18,3.1.1,Translational Segment Diffusion of a Rouse Chain . . . . . . . . . . . .,27
19,3.1.2,Spin-Lattice Relaxation of a Rouse Chain . . . . . . . . . . . . . . . . .,28
20,3.2,The Tube/Reptation Model . . . . . . . . . . . . . . . . . . . . . . . . .,29
21,3.2.1,The Doi/Edwards Limits. . . . . . . . . . . . . . . . . . . . . . . . . . .,30
22,3.2.2,Echo Attenuation by Reptation . . . . . . . . . . . . . . . . . . . . . . .,34
23,3.2.3,General Remarks on the Tube/Reptation Model . . . . . . . . . . . . . . . . . . . . . . .,35
24,3.3,Memory Function Formalisms . . . . . . . . . . . . . .,37
25,3.3.1,The Generalized Langevin Equation (GLE) . . . . . . . . . . . . . . . .,37
26,3.3.2,The GLE for the Tagged Macromolecule . . . . . . . . . . . . . . . . . .,39
27,3.3.2.1,The Potential of the Mean Force and the Memory Matrix . . . . . . . .,42
28,3.3.2.2,The Rouse Equation of Motion as a Special Case of the GLE . . . . . . .,43
29,3.4,Renormalized Rouse Models . . . . . . . . . . . . . . . . . . . . . . . .,45
30,3.4.1 3.4.3,The First Renormalization. . . . . . . . . . . . . . . . . . . . . . . . . . General Remarks on Renormalized Rouse Models . . . . . . . . . . . .,47 55
31,3.4.2,The Second Renormalization . . . . . . . . . . . . . . . . . . . . . . . .,51
32,4,"Experimental Studies of Bulk Melts, Networks and Concentrated Solutions",57
33,4.1,The Three Components of Polymer Dynamics as Relevant for NMR Relaxometry . . . . . . . . . . . . . . . . . . . . . . . . . . . .,57
34,4.1.1,Component A. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,58
35,4.1.3,Component C. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . Different,61
36,4.1.4,NMRCorrelation Function.,61
37,,The Time-scale Approach for the,
